customer_id,customer_name
CUST0180,Tripti Tara
CUST0181,Yashawini Choudhury
CUST0182,Chakradev Kant
CUST0184,Oscar Soni
CUST0187,Edhitha Boase
CUST0190,Aarna Kurian
CUST0192,Vasatika Chanda
CUST0197,Chanakya Bobal
CUST0198,Jai Dalal
CUST0200,George Ram
CUST0201,Nachiket Kala
CUST0203,Riya Nagarajan
CUST0204,Nimrat Deol
CUST0207,Ryan Uppal
CUST0208,Riya Nazareth
CUST0210,Abdul Mohanty
CUST0212,Bhavani Shroff
CUST0214,Maanas Som
CUST0216,Bahadurjit Pingle
CUST0219,Aayush Wable
CUST0222,Ansh Ramachandran
CUST0223,Dakshesh Lall
CUST0226,Faras Dara
CUST0231,Yashoda Loyal
CUST0233,Zilmil Bhandari
CUST0242,Darpan Chawla
CUST0243,Yochana Sachar
CUST0244,Lohit Kaur
CUST0246,Viraj Prashad
CUST0247,Hitesh Gandhi
CUST0249,Yuvraj Bandi
CUST0250,Balendra Sridhar
CUST0251,Advay Pradhan
CUST0253,Pushti Kari
CUST0254,Aishani Chahal
CUST0255,Ikbal Tailor
CUST0256,Harrison Din
CUST0259,Ishwar Karpe
CUST0260,Rajata Kapoor
CUST0262,Hamsini De
CUST0263,Ekavir Talwar
CUST0264,Ekapad Mukherjee
CUST0266,Bhanumati More
CUST0267,Zaitra Dewan
CUST0268,Bachittar Warrior
CUST0269,Yahvi Bandi
CUST0270,Wriddhish Shetty
CUST0273,Shivansh Gole
CUST0274,Amol Kadakia
CUST0276,Aahana Atwal
CUST0277,Yoshita Bhavsar
CUST0278,Manan Subramanian
CUST0279,Suhani Balay
CUST0280,Ekta Bains
CUST0283,Harini Goyal
CUST0292,Saanvi Madan
CUST0294,Upadhriti Sibal
CUST0297,Lekha Badal
CUST0302,Nandini Bobal
CUST0303,Baljiwan Jani
CUST0304,Abhiram Nadkarni
CUST0305,Ubika Apte
CUST0309,Aadi De
CUST0310,Gunbir Minhas
CUST0312,Warhi Naidu
CUST0314,Vanya Chad
CUST0315,Nathaniel Bala
CUST0318,Jyoti Mishra
CUST0321,Vedhika Kapadia
CUST0324,Aachal Ratta
CUST0328,Kalpit Kibe
CUST0329,Lavanya Deshmukh
CUST0331,Azaan Batra
CUST0332,Ladli Ganguly
CUST0334,Janani Divan
CUST0335,Devansh Mody
CUST0337,Harita Mital
CUST0338,Qadim Amble
CUST0339,Gaurang Mukherjee
CUST0341,Xiti Kala
CUST0342,Gunbir Kapoor
CUST0343,Ansh D’Alia
CUST0344,Dhriti Balan
CUST0345,Tarak Sabharwal
CUST0347,Nandini Chada
CUST0348,Kala Chaudhary
CUST0350,Saanvi Sandal
CUST0354,Chaitaly Sridhar
CUST0355,Niharika Gupta
CUST0356,Nandini Raja
CUST0357,Libni Krishnan
CUST0359,Mohammed Bhatia
CUST0360,Abhimanyu Ramesh
CUST0361,Gayathri Bhatt
CUST0362,Leela Rege
CUST0363,Urvi More
CUST0365,Triveni Bumb
CUST0367,Pranit Sarin
CUST0368,Veda Kohli
CUST0369,Anita Rama
CUST0370,Utkarsh Warrior
CUST0371,Kalpit Bhargava
CUST0378,Balveer Rama
CUST0379,Nidhi Mohanty
CUST0383,Sanaya Sanghvi
CUST0384,Anya Badal
CUST0385,Jagvi Sodhi
CUST0386,Zansi Bhat
CUST0387,Siya Kamdar
CUST0389,Zansi Magar
CUST0390,Rachana Vaidya
CUST0391,Yauvani Mittal
CUST0393,Sathvik Viswanathan
CUST0394,Rachit Batta
CUST0395,Krisha Lata
CUST0396,Yoshita Maharaj
CUST0399,Meghana Bhakta
CUST0400,Siddharth Bumb
CUST0402,Banjeet Chander
CUST0403,Deepa Savant
CUST0406,Ronith Palan
CUST0407,Omkaar Kashyap
CUST0410,Edhitha Babu
CUST0411,Azad Dutta
CUST0413,Nidra Bhardwaj
CUST0414,Chaitaly Devan
CUST0415,Dakshesh Munshi
CUST0416,Wazir Murty
CUST0417,Ekbal Rajagopal
CUST0418,Aarav Brar
CUST0420,Darsh Swamy
CUST0424,Keya Dara
CUST0425,Ranbir Ramakrishnan
CUST0427,Rajata Ramanathan
CUST0429,Aarav Ahluwalia
CUST0432,Girik Sur
CUST0433,Harsh Gopal
CUST0434,Urvashi Barman
CUST0437,Peter Krishnamurthy
CUST0438,Irya Babu
CUST0439,Anthony Gopal
CUST0442,Samuel Deshmukh
CUST0446,Vedant Bali
CUST0447,Qushi Krish
CUST0449,Umang Venkataraman
CUST0452,Umang Mittal
CUST0453,Ati Bail
CUST0454,Jairaj Ghosh
CUST0455,Mahika Mohan
CUST0459,Fariq Khalsa
CUST0463,Hredhaan Kata
CUST0465,Ayush Dey
CUST0469,Orinder Arora
CUST0470,Sneha Sen
CUST0472,Ekani Issac
CUST0473,Unnati Maharaj
CUST0474,Suhani Pau
CUST0477,Chanchal Aurora
CUST0478,Samaksh Cherian
CUST0480,Chatresh Sibal
CUST0481,Bimala Bhatia
CUST0482,Lakshmi Kumar
CUST0485,Turvi Shukla
CUST0488,Nisha Kamdar
CUST0489,Peter Garde
CUST0490,Prisha Dash
CUST0491,Jyoti Goswami
CUST0492,Shaurya Khurana
CUST0493,Jasmit Sarkar
CUST0499,Bimala Bumb
CUST0500,Hritik Nair
