user_id,transaction_date,region,product_category,sale_amount,city,age,subscription,email,username,price,store_id,raw_timestamp,status
9844,2025-09-01,West,Books,4086.88,Pune,52,Premium,jessicatanner@example.com,jason80,965.12,S103,1983-01-27 20:15:16.898563,Inactive
3228,2025-11-16,East,Furniture,1232.9,Delhi,27,Premium,zcardenas@example.net,alexis03,1736.55,S103,2000-05-25 16:34:02.024918,Inactive
4508,2026-04-19,East,Books,2320.42,Mumbai,52,Premium,,jamesallen,268.1,S103,1995-02-13 03:27:55.824696,Inactive
7881,2025-11-22,East,Clothing,2061.37,Chennai,44,Premium,john54@example.net,matthewhinton,1310.98,S104,2000-06-08 07:16:41.112310,Pending
5480,2025-10-03,South,Clothing,4903.83,Delhi,18,Basic,george95@example.net,tinadiaz,1875.69,S102,2013-06-30 21:38:14.844060,Inactive
6822,2025-10-06,North,Clothing,4857.94,Delhi,19,Premium,markgrimes@example.net,kaitlynsanders,1401.96,S104,1993-08-30 16:16:28.167585,Inactive
3782,2026-05-24,East,Books,2044.61,Chennai,39,Basic,robersonjoseph@example.org,bcopeland,1394.04,S101,1985-11-02 11:43:00.572158,Inactive
7874,2026-01-19,South,Books,2914.87,Bangalore,44,Basic,helenbarrett@example.com,matthewhall,1983.82,S103,1981-12-02 20:29:31.277539,Pending
5865,2026-04-20,East,Furniture,1206.14,Chennai,47,Premium,william88@example.com,davidhudson,695.45,S102,1985-10-29 14:58:15.430050,Inactive
1602,2025-11-22,South,Clothing,943.61,Mumbai,41,Premium,christy75@example.net,johnmullins,747.1,S101,1981-09-04 21:59:35.057338,Active
9209,2025-07-09,North,Clothing,4654.35,Delhi,44,Basic,muellerjoseph@example.org,gilbertbrian,207.97,S103,1988-02-02 01:52:22.839289,Inactive
3730,2026-02-14,South,Electronics,589.94,Bangalore,22,Premium,chernandez@example.com,laurie83,1163.69,S102,2024-03-31 09:40:04.161979,Active
4482,2025-12-23,East,Furniture,258.18,Delhi,40,Premium,tony63@example.org,stricklanddaniel,196.06,S101,1974-04-04 22:00:03.263725,Pending
4089,2025-08-28,North,Electronics,2083.31,Bangalore,38,Premium,sarahgarcia@example.com,tmercer,1362.64,S102,2018-12-24 06:47:08.254093,Pending
5777,2025-11-24,West,Books,4624.6,Delhi,55,Premium,eroberts@example.net,kaitlynli,683.64,S103,2004-06-20 01:01:02.757215,Inactive
9283,2025-12-24,North,Clothing,226.15,Delhi,20,Premium,johnfitzpatrick@example.org,tkim,123.71,S101,1996-03-24 00:56:58.089785,
9525,2026-03-14,East,Electronics,1433.35,Delhi,42,Premium,mwalker@example.com,bharvey,1597.04,S101,1980-01-27 09:21:40.465656,
9118,2026-03-21,North,Books,2491.87,Chennai,40,Premium,richardcardenas@example.org,martinjustin,512.24,S103,2013-01-27 09:41:00.035625,Pending
1887,2026-03-09,West,Electronics,523.77,Mumbai,50,Basic,nicolerios@example.com,johnsonsteven,246.09,S104,1972-04-17 20:12:00.274770,Pending
6115,2026-05-29,South,Clothing,240.2,Delhi,34,Basic,,pjacobs,1526.74,S104,2023-05-10 22:54:56.278468,
7758,2025-11-28,East,Electronics,2990.31,Chennai,48,Basic,suarezcraig@example.org,adixon,,S101,1986-04-05 12:05:32.073775,Active
3686,2026-04-24,North,Furniture,768.33,Delhi,27,Basic,annparker@example.com,dawnsosa,557.2,S104,1979-03-16 03:56:25.015890,Pending
4745,2026-03-17,East,Electronics,2546.41,Mumbai,30,Basic,diazjames@example.com,larry28,1849.03,S102,2002-07-28 12:47:37.672961,Active
2722,2025-06-15,North,Books,1453.96,Mumbai,50,Premium,,slewis,661.02,S102,2011-10-04 18:03:21.581935,Pending
9814,2025-10-02,East,Electronics,2229.47,Bangalore,40,Basic,larry06@example.com,yperry,1416.97,S103,1982-04-22 13:22:15.345577,Inactive
5561,2026-03-24,South,Clothing,3398.03,Mumbai,33,Premium,,bradymason,1368.58,S102,1979-07-08 15:13:49.201842,Active
3416,2026-03-27,East,Electronics,2220.12,Bangalore,37,Premium,greennicole@example.org,johnsmatthew,216.47,S101,1985-05-14 23:19:23.346696,Inactive
7696,2025-10-01,East,Furniture,621.37,Pune,42,Premium,,anthony80,1963.97,S102,2003-04-03 05:10:43.852817,Inactive
1898,2025-07-13,West,Books,1134.17,Delhi,32,Premium,amy22@example.org,hernandezedward,806.81,S103,2001-10-16 18:48:28.149331,Inactive
5638,2025-12-12,North,Books,4786.99,Mumbai,57,Premium,martinsmith@example.org,jason02,1774.61,S101,1995-11-09 02:01:38.335827,Active
9841,2025-10-14,East,Books,3308.03,Delhi,39,Premium,woodssteve@example.net,lwoods,1589.74,S101,1987-12-14 23:36:28.806033,Active
4088,2026-01-26,West,Books,4626.25,Delhi,24,Basic,tammymartinez@example.net,monicajohnson,580.94,S101,1980-11-06 09:15:37.762253,Inactive
8918,2025-08-30,East,Furniture,2312.8,Delhi,33,Premium,brownbrian@example.com,comptonjason,1941.46,S103,2009-05-11 13:56:07.808913,Active
5800,2026-04-14,West,Electronics,2114.85,Mumbai,55,Basic,mariaphillips@example.org,lesterlauren,1157.18,S102,1983-02-17 16:37:15.719501,
3871,2025-07-11,East,Clothing,2504.75,Chennai,39,Basic,asmith@example.net,ianbryan,1225.41,S101,1988-07-05 13:48:51.440590,Active
5242,2026-01-05,West,Books,4374.77,Mumbai,60,Premium,ybennett@example.com,ashleymckinney,1854.16,S104,2007-10-18 13:32:56.943785,Pending
9046,2025-11-17,West,Books,2898.43,Pune,22,Premium,hughesdarren@example.com,wandagilmore,843.74,S101,1994-03-22 05:48:20.139484,Active
2837,2026-01-31,East,Electronics,981.86,Pune,26,Basic,nicholas42@example.com,averygabriel,85.01,S104,2004-05-04 04:09:17.942732,Inactive
6985,2025-06-21,South,Furniture,1148.97,Delhi,28,Basic,david26@example.com,nealrebecca,1208.51,S102,2022-07-30 10:36:56.827547,Active
1078,2025-07-24,North,Clothing,1144.66,Bangalore,20,Premium,chenjerry@example.com,hawkinsandrew,816.81,S104,1987-02-20 10:44:36.060918,Inactive
1462,2026-01-12,West,Clothing,2958.8,Mumbai,47,Basic,kevin26@example.org,orios,298.84,S101,1970-04-18 10:37:17.988397,
2757,2025-12-25,North,Clothing,4213.07,Delhi,35,Premium,carrolljames@example.com,denise60,740.31,S104,2020-10-27 23:45:19.272312,Pending
5955,2025-06-12,East,Electronics,434.92,Mumbai,50,Premium,nolangregory@example.com,deniselove,564.38,S102,2011-07-28 08:43:10.998979,Pending
9258,2025-09-18,West,Electronics,675.37,Pune,46,Premium,jmendez@example.org,charles03,299.24,S101,2004-11-26 14:18:01.682501,Pending
7342,2025-12-28,East,Clothing,1144.41,Pune,54,Premium,,mwhite,1146.33,S103,2008-10-25 23:07:06.006968,Pending
8775,2026-03-25,South,Clothing,288.83,Chennai,23,Premium,susanparker@example.net,lhaley,,S104,2024-05-21 16:46:44.417352,Pending
4291,2026-02-09,West,Clothing,693.65,Bangalore,50,Basic,olin@example.com,kaitlynadams,304.75,S103,1994-02-03 19:53:58.753894,Pending
7973,2025-08-06,South,Clothing,1722.02,Pune,54,Basic,xhardy@example.net,melissasmith,,S102,1982-06-03 23:35:28.614556,Inactive
7234,2026-05-05,East,Furniture,2207.51,Delhi,45,Basic,cchavez@example.com,laurablankenship,,S103,1998-08-10 08:33:38.420541,Active
6054,2026-01-17,South,Electronics,1737.35,Bangalore,46,Basic,,owensjulie,888.49,S103,2019-09-28 04:08:27.624951,Inactive
5966,2025-09-23,West,Clothing,2263.72,Delhi,47,Premium,sandra37@example.com,cruzjessica,1522.34,S101,1973-06-06 12:57:06.524983,Inactive
2757,2025-12-25,North,Clothing,4213.07,Delhi,35,Premium,carrolljames@example.com,denise60,740.31,S104,2020-10-27 23:45:19.272312,Pending
2722,2025-06-15,North,Books,1453.96,Mumbai,50,Premium,,slewis,661.02,S102,2011-10-04 18:03:21.581935,Pending
1462,2026-01-12,West,Clothing,2958.8,Mumbai,47,Basic,kevin26@example.org,orios,298.84,S101,1970-04-18 10:37:17.988397,
4890,2025-09-03,East,Books,1421.23,Bangalore,32,Basic,burnsmegan@example.net,hhayes,1166.98,S104,1975-10-28 10:30:42.340468,
5777,2025-11-24,West,Books,4624.6,Delhi,55,Premium,eroberts@example.net,kaitlynli,683.64,S103,2004-06-20 01:01:02.757215,Inactive
9366,2025-06-17,West,Books,104.59,Mumbai,43,Basic,burgessamy@example.org,susansilva,271.74,S101,2025-01-06 07:23:30.045039,Active
5865,2026-04-20,East,Furniture,1206.14,Chennai,47,Premium,william88@example.com,davidhudson,695.45,S102,1985-10-29 14:58:15.430050,Inactive
6112,2025-08-07,South,Books,3288.52,Delhi,18,Premium,joshuagraham@example.net,lisapeterson,1087.55,S102,1979-02-10 08:35:41.768559,Pending
2892,2026-04-19,North,Books,3665.74,Delhi,25,Basic,sgarcia@example.net,wthomas,1841.22,S101,2009-02-28 13:26:10.875065,Inactive
4745,2026-03-17,East,Electronics,2546.41,Mumbai,30,Basic,diazjames@example.com,larry28,1849.03,S102,2002-07-28 12:47:37.672961,Active
