customer_id,customer_name,email,registration_date,customer_type
CUST0037,Rudra Barman,kaizacharia@example.net,2024-02-01,REGULAR
CUST0038,Arin Pandey,tripathineha@example.com,2024-08-29,VIP
CUST0039,George Naidu,karan59@example.com,2023-09-05,VIP
CUST0040,Bhanumati Amble,advaithvirk@example.com,2024-08-26,VIP
CUST0041,Elijah Pandey,sachdevawyatt@example.net,2026-03-18,VIP
CUST0042,Joshua Hora,cbahri@example.net,2023-12-16,PREMIUM
CUST0043,Omisha Dubey,kapoorbalhaar@example.org,2024-05-16,VIP
CUST0044,William Srinivas,palpriya@example.net,2024-07-04,PREMIUM
CUST0045,Indrajit Nanda,ekani44@example.net,2023-09-08,VIP
CUST0046,Onkar Samra,chahalyashodhara@example.org,2025-02-14,REGULAR
CUST0047,Hitesh Zacharia,urmi01@example.org,2024-01-14,REGULAR
CUST0048,Indali Lata,chokshichanakya@example.com,2023-08-03,REGULAR
CUST0049,Imaran Dutta,vanshachatterjee@example.org,2026-05-01,PREMIUM
CUST0050,Manya Dhingra,bosejanani@example.net,2024-01-26,PREMIUM
CUST0051,Ekanta Shukla,barkharajagopal@example.com,2024-09-16,REGULAR
CUST0052,Oni Dixit,cchadha@example.com,2025-01-23,PREMIUM
CUST0053,Isha Sahni,nigampranav@example.net,2023-10-28,VIP
CUST0054,Harshil Nayar,dalaltimothy@example.com,2025-09-19,REGULAR
CUST0055,Urvi Malhotra,pathakdiya@example.com,2025-09-03,PREMIUM
CUST0056,Geetika Chaudhry,swaminathandayita@example.net,2026-02-28,REGULAR
CUST0057,Kai Varkey,bassiadvaith@example.com,2024-05-13,PREMIUM
CUST0058,Logan Manne,omishawalia@example.net,2025-07-18,VIP
CUST0059,Xavier Thakkar,sampathganga@example.org,2024-01-29,REGULAR
CUST0060,Keya Shukla,chackoumang@example.net,2025-07-28,REGULAR
CUST0061,Krishna Aurora,narayanvamakshi@example.com,2025-10-08,REGULAR
CUST0062,Anya Uppal,fdada@example.com,2023-12-02,VIP
CUST0063,Qushi Sahni,guhaekantika@example.net,2025-02-05,VIP
CUST0064,Elijah Balan,esaxena@example.com,2026-05-07,PREMIUM
CUST0065,Christopher Sant,idikanagar@example.org,2025-06-08,PREMIUM
CUST0066,Urishilla Uppal,vidhi77@example.net,2024-01-31,REGULAR
CUST0067,Nitesh Kala,dkalla@example.org,2025-09-14,PREMIUM
CUST0068,Varenya Dyal,manyakara@example.org,2024-04-30,PREMIUM
CUST0069,Chatura Ramaswamy,krishsengupta@example.com,2024-03-07,VIP
CUST0070,Onkar Sunder,cbhatia@example.net,2024-12-25,REGULAR
CUST0071,Amrita Rout,osane@example.com,2024-08-21,VIP
CUST0072,Azaan Srivastava,vanshanarula@example.com,2025-08-11,REGULAR
CUST0073,Bhavya Vyas,bhavyavyas@,2026-01-25,PREMIUM
CUST0074,Ojasvi Sengupta,wakeeta36@example.org,2026-02-22,VIP
CUST0075,Aadi Gour,hitesh13@example.net,2025-08-24,REGULAR
CUST0076,Elijah Uppal,jsaran@example.com,2026-01-05,REGULAR
CUST0077,Shivansh Ganesh,ydeol@example.com,2025-10-05,PREMIUM
CUST0078,Ekaraj Dar,oeshigulati@example.com,2023-09-05,PREMIUM
CUST0079,Anthony Tandon,ikballata@example.net,2023-08-12,VIP
CUST0080,Balendra Ramakrishnan,khoslarohan@example.net,2023-09-16,VIP
CUST0081,Dayita Balakrishnan,lbahl@example.com,2024-10-03,PREMIUM
CUST0082,Inaya Sura,randra@example.org,2025-07-07,REGULAR
CUST0083,Reyansh Mody,sridharrajata@example.net,2025-10-04,REGULAR
CUST0084,Shravya Uppal,malldevansh@example.net,2026-04-13,VIP
CUST0085,Zehaan Shroff,pgoel@example.org,2024-11-27,PREMIUM
CUST0086,Bina Sachar,anirudh94@example.net,2026-05-27,PREMIUM
CUST0087,Ekbal Madan,bordearyan@example.net,2025-06-12,PREMIUM
CUST0088,Warjas Char,prishabalakrishnan@example.com,2025-01-22,REGULAR
CUST0089,Rishi Nadkarni,xalakdora@example.net,2024-12-29,PREMIUM
CUST0090,Anvi Lad,syohannan@example.org,2025-10-30,REGULAR
CUST0091,Anay Iyengar,deviucchal@example.com,2025-08-29,REGULAR
CUST0092,Amol Sodhi,sidhuranveer@example.com,2024-03-02,REGULAR
CUST0093,Reva Parikh,jsen@example.com,2026-02-07,REGULAR
CUST0094,Anthony Sahni,mittalvarsha@example.net,2025-10-28,REGULAR
CUST0095,Raghav Pall,akshayvarughese@example.com,2024-10-28,VIP
CUST0096,Hemang Murthy,jeet76@example.com,2025-10-31,VIP
CUST0097,Manan Nath,qnarayanan@example.com,2024-11-05,REGULAR
CUST0098,Siddharth Sura,rachitabora@example.com,2023-11-01,PREMIUM
CUST0099,Nitesh Grover,kumarvincent@example.net,2025-09-02,REGULAR
CUST0100,Adweta Bala,priya67@example.com,2023-11-19,REGULAR
CUST0101,Bhavya Zacharia,sampathvrinda@example.org,2025-02-25,VIP
CUST0102,Omya Mahajan,hbehl@example.com,2023-10-28,PREMIUM
CUST0103,Shivani Taneja,zilmilnarayanan@example.net,2025-02-23,VIP
CUST0104,Vaishnavi Roy,igoswami@example.com,2025-11-12,PREMIUM
CUST0105,Jeremiah Sen,jnarayanan@example.net,2026-04-25,REGULAR
CUST0106,Abeer Patla,abhimanyu46@example.net,2025-06-10,VIP
CUST0107,Thomas Kumar,siyagoswami@example.org,2023-09-05,PREMIUM
CUST0108,Garima Dewan,hemanginivala@example.org,2025-06-24,VIP
CUST0109,Gaurang Char,radhasathe@example.net,2024-09-29,VIP
CUST0110,Falguni Murthy,rushilcomar@example.com,2025-08-02,REGULAR
CUST0111,Libni Wable,vsamra@example.org,2024-07-21,REGULAR
CUST0112,Tarak Wali,harini81@example.org,2024-07-22,REGULAR
CUST0113,Gaurang Rege,bhavani82@example.org,2024-05-13,REGULAR
CUST0114,Watika Bahl,ekaraj06@example.com,2025-04-03,REGULAR
CUST0115,Anya Dubey,sathvik26@example.net,2026-01-16,PREMIUM
CUST0116,Jhalak Vig,pbhatia@example.org,2024-02-22,PREMIUM
CUST0117,Shravya Ratta,mmittal@example.com,2025-01-17,PREMIUM
CUST0118,Ikbal Sachdeva,bansalavi@example.org,2024-08-01,REGULAR
CUST0119,Rajeshri Purohit,tbarad@example.com,2026-06-25,VIP
CUST0120,Wyatt Gole,lapte@example.com,2024-01-23,VIP
CUST0121,Eesha Butala,wakeeta72@example.org,2026-01-11,REGULAR
CUST0122,Yashasvi Murty,ayaan51@example.org,2025-05-04,VIP
CUST0123,Ganga Rama,naveengala@example.com,2023-09-28,REGULAR
CUST0124,Warjas Murthy,bmangal@example.net,2024-06-08,PREMIUM
CUST0125,William Chandra,dayamairout@example.net,2024-12-19,VIP
CUST0126,Sathvik Bala,vyanjana52@example.org,2024-08-16,VIP
CUST0127,Rajeshri Bose,urishilla07@example.org,2023-10-15,PREMIUM
CUST0128,Arunima Peri,ymemon@example.com,2025-10-05,REGULAR
CUST0129,Luke Basu,chatura59@example.org,2024-09-24,REGULAR
CUST0130,Kamya Batta,faras36@example.org,2023-10-11,VIP
CUST0131,Barkha Balasubramanian,menonyuvraj@example.com,2026-01-10,PREMIUM
CUST0132,Lila Dhaliwal,wriddhish87@example.com,2024-04-20,PREMIUM
CUST0133,Aashi Verma,vasudhabala@example.net,2025-02-13,REGULAR
CUST0134,Simon Sant,gauravbhandari@example.com,2026-05-19,PREMIUM
CUST0135,George Kata,sethvarsha@example.com,2025-06-29,PREMIUM
CUST0136,Idika Badami,desaiyochana@example.com,2026-02-04,VIP
CUST0137,Hiral Kashyap,fmani@example.net,2025-09-14,PREMIUM
CUST0138,Aarini Deep,aishaniwali@example.com,2024-11-06,REGULAR
CUST0139,Noah Cheema,farajgaba@example.net,2025-09-14,REGULAR
CUST0140,Udant Lata,barkha28@example.net,2024-04-08,REGULAR
CUST0141,Luke Shere,ekantika53@example.com,2026-01-01,PREMIUM
CUST0142,Aadhya Behl,kavyahans@example.net,2023-07-11,REGULAR
CUST0143,Anita Mangat,brinda36@example.net,2024-10-06,PREMIUM
CUST0144,Oeshi Kala,lkapur@example.net,2026-06-07,PREMIUM
CUST0145,Netra Om,andrew52@example.com,2023-09-29,VIP
CUST0146,Warjas Tella,skaur@example.org,2025-12-04,VIP
CUST0147,Tanish Dutta,rayaansangha@example.org,2026-03-31,VIP
CUST0148,Jeevika Singh,onigam@example.com,2024-09-01,VIP
CUST0149,Aarnav Mand,idixit@example.com,2023-09-30,VIP
CUST0150,Reva Dua,maneabhimanyu@example.org,2025-06-01,REGULAR
CUST0151,Banjeet Karnik,williambasu@example.net,2024-06-23,PREMIUM
CUST0152,Osha Chaudhuri,bandichaitanya@example.net,2023-11-07,REGULAR
CUST0153,William Dass,januja44@example.com,2023-06-28,VIP
CUST0154,Saksham Sandhu,ishani15@example.org,2025-06-27,REGULAR
CUST0155,Pahal Deshmukh,daminimani@example.com,2026-01-04,PREMIUM
CUST0156,Falguni Chaudhary,sathvikkumar@example.com,2026-04-26,PREMIUM
CUST0157,Aarav Kadakia,udarshpatel@example.net,2026-04-17,REGULAR
CUST0158,Fariq Kala,gaganbobal@example.com,2023-07-16,VIP
CUST0159,Deepa Dutta,andrew24@example.org,2024-05-29,PREMIUM
CUST0160,Eesha Bava,pupadhyay@example.net,2025-10-16,VIP
CUST0161,Ekbal Chauhan,ekbalchauhangmail.com,2024-01-17,PREMIUM
CUST0162,Jhalak Anne,choudharyrajata@example.org,2026-05-27,PREMIUM
CUST0163,Madhav Borde,chaayagour@example.org,2024-02-20,VIP
CUST0164,Kashish Chandran,jhaveriamara@example.org,2024-08-06,PREMIUM
CUST0165,Damini Chaudhuri,bvenkatesh@example.org,2024-05-31,VIP
CUST0166,Alka Lad,ikshita13@example.com,2023-11-06,PREMIUM
CUST0167,Faqid Mangat,manthan90@example.net,2024-05-30,PREMIUM
CUST0168,Harini Dyal,shivanshkhurana@example.net,2023-11-12,REGULAR
CUST0169,Neha Devi,william62@example.net,2024-11-03,VIP
CUST0170,Ojasvi Bhatia,duttodika@example.com,2025-06-03,PREMIUM
CUST0171,Zayyan Din,kamalaandra@example.com,2024-11-11,REGULAR
CUST0172,Priya Arora,vivaanchahal@example.org,2025-11-04,PREMIUM
CUST0173,Chandran Baria,iandra@example.net,2024-12-13,PREMIUM
CUST0174,Kashvi Nagarajan,chandavinaya@example.org,2023-10-11,VIP
CUST0175,Kevin Sampath,zehaan85@example.org,2025-09-21,PREMIUM
CUST0176,Ishani Viswanathan,nishadoshi@example.net,2026-06-13,PREMIUM
CUST0177,Simon Uppal,advik13@example.net,2024-05-12,REGULAR
CUST0178,Libni Chopra,hsunder@example.org,2024-03-07,REGULAR
CUST0179,Rajata Chanda,xaviermishra@example.com,2025-03-13,VIP
CUST0180,Yash Chana,jagrati48@example.net,2023-07-21,REGULAR
CUST0181,Devika Walla,riya58@example.org,2023-11-20,VIP
CUST0182,Warda Brar,chawlachristopher@example.com,2024-10-26,VIP
CUST0183,Chandresh Boase,doctorgautami@example.org,2026-03-12,REGULAR
CUST0184,Omya Bansal,bbajaj@example.org,2024-11-03,VIP
CUST0185,Aarna Puri,isaac80@example.com,2025-01-15,PREMIUM
CUST0186,Jyoti Dyal,radha67@example.net,2024-10-27,REGULAR
CUST0187,Gauri Mahajan,jhalakkarnik@example.net,2026-06-13,PREMIUM
CUST0188,Charles Mittal,agrawalmaanas@example.com,2025-12-02,VIP
CUST0189,Raghav Rau,ijaya54@example.net,2025-01-28,PREMIUM
CUST0190,Anirudh Sehgal,leelaramaswamy@example.net,2024-04-02,PREMIUM
CUST0191,Aahana Wali,aahanawali@,2024-07-12,PREMIUM
CUST0192,Indali Goda,ekajavarughese@example.net,2025-04-22,REGULAR
CUST0193,Tejas Dutt,keerekta@example.org,2025-12-17,REGULAR
CUST0194,Tarak Bhavsar,hlalla@example.com,2024-06-24,PREMIUM
CUST0195,Yashica Gola,azad72@example.com,2026-01-23,PREMIUM
CUST0196,Darpan Varughese,balaidika@example.com,2026-06-03,PREMIUM
CUST0197,Siya Kar,virkamrita@example.org,2024-12-17,VIP
CUST0198,Yadavi Pau,aarnavbatra@example.net,2024-11-20,REGULAR
CUST0199,Gayathri Shroff,mandyuvraj@example.com,2024-03-30,REGULAR
CUST0200,Yochana Padmanabhan,widishachanda@example.com,2024-01-05,VIP
CUST0201,Jonathan Swamy,ichanda@example.org,2025-07-19,VIP
CUST0202,Waida Palla,nandiniraval@example.net,2025-09-04,VIP
CUST0203,Oni Ghose,pooja72@example.org,2023-07-21,PREMIUM
CUST0204,Reyansh Narayan,kannanjoshua@example.com,2025-11-13,VIP
CUST0205,Yashoda Tailor,deshmukhtimothy@example.net,2026-03-17,REGULAR
CUST0206,Timothy Batta,kakararin@example.com,2025-04-04,REGULAR
CUST0207,Tanish Lalla,urishillasankar@example.com,2025-07-22,VIP
CUST0208,Xavier Agate,nazarethmohini@example.com,2023-12-06,VIP
CUST0209,Gaurav Thakkar,gangaiyengar@example.org,2024-01-25,VIP
CUST0210,Adya Sandhu,wnazareth@example.org,2025-11-10,PREMIUM
CUST0211,Jacob Rout,qgara@example.net,2023-12-03,PREMIUM
CUST0212,Lakshit Andra,kashvi51@example.com,2026-06-20,VIP
CUST0213,Ishwar Dugar,saanvidara@example.org,2025-06-30,PREMIUM
CUST0214,Wishi Ratta,koshymichael@example.net,2024-04-06,REGULAR
CUST0215,Yatin Nagy,chadhagunbir@example.net,2026-01-17,VIP
CUST0216,Rajata Keer,orege@example.net,2025-11-12,PREMIUM
CUST0217,Nidhi Nayar,gunbir09@example.org,2023-09-23,VIP
CUST0218,Darpan Sibal,wgrover@example.org,2024-04-26,REGULAR
CUST0219,Vinaya Lad,ekansh06@example.org,2025-05-27,PREMIUM
CUST0220,Imaran Bhattacharyya,murtyfalguni@example.org,2024-08-23,REGULAR
CUST0221,Brijesh Palla,elijahdey@example.net,2025-11-13,REGULAR
CUST0222,Thomas Gole,advika37@example.com,2025-08-21,PREMIUM
CUST0223,Guneet Mitra,lchad@example.org,2024-07-10,REGULAR
CUST0224,Nisha Pant,salviekansh@example.org,2024-09-18,VIP
CUST0225,Tejas Bains,bumbnikita@example.com,2023-08-03,REGULAR
CUST0226,Oliver Walia,dvora@example.com,2026-01-10,PREMIUM
CUST0227,Ishani Malhotra,peter13@example.org,2025-04-14,PREMIUM
CUST0228,Lohit Ahluwalia,lipika73@example.org,2024-06-29,PREMIUM
CUST0229,Irya Sodhi,unarasimhan@example.org,2024-06-01,REGULAR
CUST0230,Falan Arya,prakashsamuel@example.com,2025-02-01,PREMIUM
CUST0231,Anjali Swaminathan,bhasinowen@example.net,2026-01-21,REGULAR
CUST0232,Samar Dutt,bhavnasarin@example.com,2024-07-16,REGULAR
CUST0233,Harita Shetty,abdulrout@example.net,2023-08-13,VIP
CUST0234,Fariq Parikh,anika01@example.com,2023-10-08,REGULAR
CUST0235,Balvan Som,indrajit15@example.org,2024-08-15,VIP
CUST0236,Matthew Bajwa,udyatidevi@example.net,2024-03-27,REGULAR
CUST0237,Ekavir Batra,oscarkeer@example.net,2024-06-03,PREMIUM
CUST0238,Sarthak Bora,issacaryan@example.com,2023-08-26,VIP
CUST0239,Ethan Oommen,msuresh@example.org,2024-05-07,PREMIUM
CUST0240,Chakradev Natarajan,bhavna85@example.com,2023-12-23,REGULAR
CUST0241,Netra Sastry,onisahni@example.org,2025-03-27,VIP
CUST0242,Dakshesh Narayan,qpurohit@example.org,2024-12-17,PREMIUM
CUST0243,Barkha Rana,barkharana@,2024-08-18,PREMIUM
CUST0244,Watika Nagarajan,meghanashah@example.net,2026-06-01,VIP
CUST0245,Aashi Nanda,rahluwalia@example.org,2026-06-20,PREMIUM
CUST0246,Dalbir Sura,wallajagvi@example.net,2023-12-28,PREMIUM
CUST0247,Isaiah Gade,ppant@example.net,2024-03-16,VIP
CUST0248,Hema Sen,thomasiyengar@example.net,2025-09-15,VIP
CUST0249,Pratyush Sachar,zgala@example.com,2025-06-05,REGULAR
CUST0250,Yug Oza,yugoza@,2023-08-21,PREMIUM
CUST0251,Gautami Zachariah,nadigcharvi@example.com,2024-12-30,REGULAR
CUST0252,Sara Konda,inatt@example.org,2026-03-21,REGULAR
CUST0253,Bahadurjit Minhas,gautam30@example.com,2024-10-21,VIP
CUST0254,Balveer Raja,vihaansandhu@example.net,2023-10-19,REGULAR
CUST0255,Gunbir Ratta,imaran33@example.net,2025-04-27,PREMIUM
CUST0256,Chameli Batra,hdora@example.org,2025-11-11,VIP
CUST0257,Darika Garde,prisha08@example.org,2024-04-07,REGULAR
CUST0258,Umang Peri,agara@example.com,2023-07-17,REGULAR
CUST0259,Indali Mani,chanchal61@example.com,2025-02-18,VIP
CUST0260,Tanvi Bhatti,boaseaahana@example.com,2025-03-01,REGULAR
CUST0261,Gautami Jhaveri,ria43@example.org,2024-12-13,REGULAR
CUST0262,Nakul Dua,rakshakhurana@example.net,2024-02-16,PREMIUM
CUST0263,Chandran Char,zbanik@example.net,2025-08-08,PREMIUM
CUST0264,Zilmil Bhargava,laksh41@example.com,2026-06-13,PREMIUM
CUST0265,Vedant Sule,farispau@example.com,2025-06-16,PREMIUM
CUST0266,Chakradhar Ram,mvarkey@example.com,2025-10-03,PREMIUM
CUST0267,Januja Barad,zinalkothari@example.net,2026-01-11,PREMIUM
CUST0268,Vivaan Ghose,zehaangole@example.com,2024-01-10,PREMIUM
CUST0269,Barkha Sidhu,narainchanchal@example.org,2025-02-09,REGULAR
CUST0270,Nitesh Kakar,niharikabhatti@example.com,2024-07-28,VIP
CUST0271,Hemani Bath,diyapal@example.com,2024-04-26,VIP
CUST0272,Qabil Tripathi,qabiltripathi.com,2026-04-04,REGULAR
CUST0273,Hitesh Thakkar,jalsatak@example.net,2025-07-08,VIP
CUST0274,Falguni Chaudhry,routrachita@example.net,2024-06-03,VIP
CUST0275,Caleb Kade,usamra@example.net,2024-12-20,REGULAR
CUST0276,Ethan Ravi,sheremanya@example.com,2025-09-19,REGULAR
CUST0277,Yashoda Pall,gangasethi@example.org,2024-12-22,REGULAR
CUST0278,Unni Kaul,yashodhara89@example.com,2023-07-29,REGULAR
CUST0279,Chavvi Bahl,framanathan@example.com,2024-07-29,PREMIUM
CUST0280,Harini Oak,perigunbir@example.net,2024-05-26,REGULAR
CUST0281,Yasti Chhabra,upadhyayfrado@example.com,2025-12-12,VIP
CUST0282,Odika Sabharwal,pandeyluke@example.org,2024-06-04,VIP
CUST0283,Naksh Borra,horalopa@example.net,2023-08-06,PREMIUM
CUST0284,Eesha Bhagat,xmuni@example.com,2025-03-12,PREMIUM
CUST0285,Kashvi Vasa,tbakshi@example.org,2025-07-12,REGULAR
CUST0286,Urvi Dhillon,omyasaxena@example.org,2023-07-31,PREMIUM
CUST0287,Amaira Ratta,harshbobal@example.com,2023-09-15,VIP
CUST0288,Zayan Balasubramanian,deolucchal@example.net,2025-05-05,VIP
CUST0289,Aarini Jha,gkant@example.com,2025-04-14,VIP
CUST0290,Bina Koshy,natarajanwarinder@example.net,2023-07-01,VIP
CUST0291,William Mannan,fbandi@example.org,2026-02-26,REGULAR
CUST0292,Jatin Soman,waida53@example.org,2024-04-27,PREMIUM
CUST0293,Saksham Guha,matthew55@example.net,2024-08-12,PREMIUM
CUST0294,Bhavani Mammen,matthew22@example.com,2025-09-06,REGULAR
CUST0295,Jagvi Parikh,sarthaksaha@example.net,2025-05-10,VIP
CUST0296,Leela Toor,vbhatt@example.com,2026-06-08,VIP
CUST0297,Mitesh Chander,srao@example.net,2025-07-30,REGULAR
CUST0298,Jagdish Parmar,faris65@example.net,2026-01-30,VIP
CUST0299,Aarush Chatterjee,cheriandarika@example.net,2025-11-17,PREMIUM
CUST0300,Geetika Desai,tagrawal@example.org,2024-06-11,REGULAR
CUST0301,Jason More,ladli19@example.org,2026-05-09,PREMIUM
CUST0302,Laksh Pandit,ymann@example.net,2023-11-30,VIP
CUST0303,Ethan Loyal,johalaahana@example.com,2024-12-26,PREMIUM
CUST0304,Madhavi Tailor,siyarau@example.com,2024-11-07,VIP
CUST0305,Urvashi Reddy,rohankohli@example.org,2024-03-13,PREMIUM
CUST0306,Devika D’Alia,unaik@example.org,2025-02-11,REGULAR
CUST0307,Ridhi Sekhon,ishaan06@example.net,2023-11-25,REGULAR
CUST0308,Bhavna Sahota,raksha62@example.net,2025-07-20,REGULAR
CUST0309,Karan Kumer,wyattperi@example.org,2023-08-24,VIP
CUST0310,Fiyaz Maharaj,csinha@example.org,2023-08-30,PREMIUM
CUST0311,Wazir Bedi,dakshesh94@example.net,2024-10-18,REGULAR
CUST0312,Jyoti Malhotra,arin96@example.com,2024-04-29,REGULAR
CUST0313,Warjas Mall,robert09@example.net,2024-04-24,REGULAR
CUST0314,Chakrika Rana,zachariazayan@example.net,2026-02-01,REGULAR
CUST0315,Ati Chakrabarti,rchaudhary@example.org,2024-10-29,VIP
CUST0316,Chaitanya Patil,eloke@example.net,2025-12-18,REGULAR
CUST0317,Sanaya Sahota,xmane@example.org,2026-02-26,REGULAR
CUST0318,Warinder Cherian,odika19@example.org,2026-04-05,PREMIUM
CUST0319,Guneet Dugar,knigam@example.com,2026-01-11,PREMIUM
CUST0320,Urvi Salvi,vamakshiissac@example.com,2025-08-06,REGULAR
CUST0321,Fariq Chander,sureshjanani@example.net,2024-03-25,PREMIUM
CUST0322,Yoshita Wable,girish08@example.org,2025-05-05,PREMIUM
CUST0323,Gautam Golla,bbhatti@example.net,2024-09-22,PREMIUM
CUST0324,Chatresh Goyal,gautam13@example.com,2025-08-28,VIP
CUST0325,Adya Tiwari,nilima42@example.net,2024-12-03,PREMIUM
CUST0326,Lajita Garde,balamahika@example.com,2026-01-19,PREMIUM
CUST0327,Caleb Mangal,smody@example.org,2024-01-23,PREMIUM
CUST0328,Dalbir Natarajan,ishwardewan@example.net,2023-10-31,VIP
CUST0329,Advik Wali,usaraf@example.com,2025-12-09,VIP
CUST0330,Saumya Chanda,radhika64@example.net,2023-07-27,REGULAR
CUST0331,Chavvi Pant,lbail@example.net,2025-11-27,PREMIUM
CUST0332,Balvan Goswami,loak@example.org,2023-09-23,REGULAR
CUST0333,Eta Doctor,jacksonbandi@example.com,2023-07-31,REGULAR
CUST0334,Ekiya Tank,charyadavi@example.org,2025-03-26,VIP
CUST0335,George Ram,mandahritik@example.org,2025-01-05,REGULAR
CUST0336,Bhavika Mishra,advaithhayer@example.net,2026-04-20,REGULAR
CUST0337,Maanas Setty,mangalnitara@example.com,2023-11-16,PREMIUM
CUST0338,Varsha Gole,sinhagayathri@example.org,2025-01-22,VIP
CUST0339,Ganga Sodhi,tarakravel@example.org,2023-10-30,VIP
CUST0340,Rehaan Trivedi,mittalvaishnavi@example.com,2026-02-27,VIP
CUST0341,Brinda Buch,lipikaagrawal@example.net,2023-06-30,PREMIUM
CUST0342,Chameli Jaggi,widishamand@example.org,2024-03-24,PREMIUM
CUST0343,Lavanya Kaul,ekaja61@example.org,2026-01-17,REGULAR
CUST0344,Hemani Murthy,jagatcherian@example.net,2025-07-11,REGULAR
CUST0345,Chaitanya Saran,priyabasu@example.com,2023-10-14,REGULAR
CUST0346,Unni Mody,shenoyodika@example.com,2025-10-19,REGULAR
CUST0347,Yashica Sarna,lukechakraborty@example.org,2025-11-16,PREMIUM
CUST0348,Hitesh Khosla,pom@example.net,2024-03-17,PREMIUM
CUST0349,Bakhshi Krishnan,suribachittar@example.com,2025-04-22,VIP
CUST0350,Mitali Doctor,udarshkorpal@example.org,2024-04-28,VIP
CUST0351,Chaitaly Koshy,chavvibhatt@example.org,2024-10-13,PREMIUM
CUST0352,Naksh Sahni,tandonishani@example.net,2025-07-01,VIP
CUST0353,Banjeet Mitter,dubemanya@example.net,2024-06-14,REGULAR
CUST0354,Chandran Pradhan,dshroff@example.net,2024-03-13,REGULAR
CUST0355,Chatura Krish,enagy@example.com,2024-10-25,REGULAR
CUST0356,Omisha Deo,dbobal@example.net,2024-10-07,VIP
CUST0357,Xavier Bajaj,anyakanda@example.org,2025-12-03,REGULAR
CUST0358,Januja Bumb,mkakar@example.org,2025-08-08,REGULAR
CUST0359,Zayan Sarna,alexanderwalia@example.net,2026-01-19,VIP
CUST0360,Theodore Verma,timothy07@example.com,2025-12-15,VIP
CUST0361,Finn Sharma,madhavdeol@example.com,2024-08-26,VIP
CUST0362,Fariq Tripathi,gautam78@example.org,2024-12-17,PREMIUM
CUST0363,Oliver Wagle,tsen@example.com,2023-12-26,REGULAR
CUST0364,Nathaniel Bhandari,nagarvritti@example.org,2024-05-10,PREMIUM
CUST0365,Urmi Shan,jwali@example.net,2026-05-13,REGULAR
CUST0366,Henry Kapur,sarinomkaar@example.net,2026-05-10,REGULAR
CUST0367,Bhanumati Patla,vasudhakata@example.net,2024-10-04,REGULAR
CUST0368,Naksh Maharaj,bhargavayashvi@example.org,2025-02-03,PREMIUM
CUST0369,Gaurangi Deol,saanvi10@example.net,2025-08-29,PREMIUM
